24.1,5.6,0.813,0.363
23.2,7.8,0.665,0.303
21,5,0.75,0.478
16.7,4.5,0.768,0.333
20.3,4.5,0.8,0.352
16.8,5.6,0.795,0.424
15.5,6.5,0.522,0.412
21,7.1,0.709,0.316
15.8,5,0.935,0.36
17,4.3,0.778,0.374
